f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
9641,0.06,0.08,0.85,0.3,1.58,-1.51,1.52,0.85,0.43
9646,0.08,0.12,0.79,0.3,1.64,-1.68,1.53,0.79,0.63
9652,0.08,0.11,0.78,0.22,1.85,-2.43,1.3,0.78,0.65
9657,0.09,0.11,0.95,0.21,1.73,-2.01,1.17,0.95,0.6
9663,0.08,0.09,1.01,0.2,1.7,-1.89,1.12,1.01,0.53
9668,0.07,0.08,1.07,0.2,1.66,-1.77,1.13,1.07,0.47
9673,0.08,0.08,0.93,0.16,1.88,-2.54,1.02,0.93,0.52
9679,0.1,0.1,1.01,0.18,1.8,-2.24,1.03,1.01,0.57
9684,0.07,0.07,1.09,0.15,1.71,-1.93,0.9,1.09,0.39
9689,0.09,0.06,1.18,0.12,1.57,-1.46,0.7,1.18,0.37
9695,0.08,0.08,1.23,0.18,1.63,-1.65,0.96,1.23,0.43
9700,0.11,0.11,1.16,0.19,1.71,-1.93,0.99,1.16,0.56
9706,0.1,0.09,1.26,0.16,1.62,-1.62,0.85,1.26,0.45
9711,0.09,0.09,1.03,0.16,1.93,-2.72,0.98,1.03,0.53
9716,0.12,0.12,1.15,0.2,1.79,-2.21,1.0,1.15,0.6
9722,0.09,0.07,1.26,0.15,1.65,-1.72,0.8,1.26,0.4
9727,0.11,0.11,1.14,0.19,1.84,-2.39,1.0,1.14,0.57
9733,0.11,0.08,1.19,0.13,1.73,-1.99,0.74,1.19,0.44
9738,0.11,0.07,1.27,0.12,1.6,-1.57,0.64,1.27,0.38
9743,0.09,0.06,1.17,0.12,1.74,-2.02,0.69,1.17,0.36
9749,0.09,0.06,1.2,0.11,1.67,-1.8,0.63,1.2,0.32
9754,0.09,0.05,1.07,0.11,1.79,-2.22,0.63,1.07,0.33
9759,0.09,0.06,1.15,0.12,1.81,-2.28,0.69,1.15,0.35
9765,0.11,0.07,1.37,0.13,1.62,-1.61,0.66,1.37,0.36
9770,0.11,0.08,1.44,0.14,1.62,-1.62,0.72,1.44,0.39
9776,0.11,0.06,1.06,0.09,1.68,-1.83,0.52,1.06,0.33
9781,0.14,0.09,1.49,0.15,1.57,-1.48,0.66,1.49,0.4
9786,0.13,0.06,1.27,0.1,1.57,-1.47,0.5,1.27,0.32
9792,0.14,0.07,1.68,0.13,1.42,-1.01,0.51,1.68,0.29
9797,0.13,0.07,1.53,0.13,1.53,-1.33,0.56,1.53,0.32
9802,0.11,0.05,1.53,0.12,1.5,-1.25,0.51,1.53,0.24
9808,0.14,0.08,1.55,0.12,1.53,-1.33,0.55,1.55,0.33
9813,0.11,0.06,1.71,0.13,1.46,-1.12,0.56,1.71,0.26
9819,0.13,0.07,1.79,0.12,1.39,-0.94,0.49,1.79,0.26
9824,0.1,0.04,1.39,0.09,1.43,-1.05,0.37,1.39,0.15
9829,0.1,0.04,1.39,0.1,1.5,-1.24,0.41,1.39,0.18
9835,0.08,0.03,1.39,0.1,1.49,-1.22,0.4,1.39,0.14
9840,0.12,0.05,1.55,0.1,1.45,-1.1,0.4,1.55,0.21
9846,0.12,0.05,1.61,0.11,1.49,-1.21,0.46,1.61,0.23
9851,0.1,0.05,1.43,0.11,1.66,-1.74,0.52,1.43,0.24
9856,0.1,0.05,1.36,0.1,1.65,-1.71,0.48,1.36,0.23
9862,0.12,0.07,1.6,0.13,1.62,-1.63,0.58,1.6,0.3
9867,0.08,0.04,1.18,0.1,1.85,-2.41,0.52,1.18,0.21
